NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
S. Handanovič,Inter,Italian Serie A,LB,Gold,86,88,82,88,89,40,64,19-09-2018 12:10
M. Hummels,Borussia Dortmund,German 1. Bundesliga,LM,Gold,86,94,89,88,93,53,73,19-09-2018 12:10
Jordi Alba,FC Barcelona,Spain Primera Division,CF,Gold,86,93,93,88,90,42,74,19-09-2018 12:10
Thiago,Liverpool,English Premier League,CF,Gold,86,90,89,70,88,34,67,19-09-2018 12:10
Sergio Busquets,FC Barcelona,Spain Primera Division,ST,Gold,86,91,89,88,93,41,72,19-09-2018 12:10
Parejo,Villarreal CF,Spain Primera Division,CF,Gold,86,87,84,86,77,89,82,19-09-2018 12:10
K. Casteels,VfL Wolfsburg,German 1. Bundesliga,CDM,Gold,86,93,87,87,94,38,76,19-09-2018 12:10
L. Insigne,Napoli,Italian Serie A,CAM,Gold,86,85,79,90,92,38,64,19-09-2018 12:10
K. Koulibaly,Napoli,Italian Serie A,CAM,Gold,86,88,82,89,90,38,60,19-09-2018 12:10
R. Varane,Manchester United,English Premier League,CAM,Gold,86,86,88,80,83,41,82,19-09-2018 12:10
R. Mahrez,Manchester City,English Premier League,ST,Gold,86,83,89,90,90,43,65,19-09-2018 12:10
Gerard Moreno,Villarreal CF,Spain Primera Division,CAM,Gold,86,83,52,66,67,90,90,19-09-2018 12:10
J. Vardy,Leicester City,English Premier League,CB,Gold,86,79,69,70,78,92,86,19-09-2018 12:10
Fabinho,Liverpool,English Premier League,CB,Gold,86,72,87,91,80,64,82,19-09-2018 12:10
João Cancelo,Manchester City,English Premier League,CM,Gold,86,81,90,88,83,81,86,19-09-2018 12:10
A. Laporte,Manchester City,English Premier League,CM,Gold,86,84,90,91,90,45,84,19-09-2018 12:10
K. Coman,FC Bayern München,German 1. Bundesliga,CAM,Gold,86,77,90,90,85,77,84,19-09-2018 12:10
Bernardo Silva,Manchester City,English Premier League,CM,Gold,86,80,87,90,88,68,82,19-09-2018 12:10
Marcos Llorente,Atlético de Madrid,Spain Primera Division,CAM,Gold,86,77,86,92,87,60,78,19-09-2018 12:10
Rodri,Manchester City,English Premier League,CAM,Gold,86,80,90,79,87,52,85,19-09-2018 12:10
M. Škriniar,Inter,Italian Serie A,ST,Gold,86,76,76,90,91,70,67,19-09-2018 12:10
A. Gómez,Sevilla FC,Spain Primera Division,CM,Gold,85,75,63,71,72,91,84,19-09-2018 12:10
K. Schmeichel,Leicester City,English Premier League,CB,Gold,85,91,82,86,94,35,67,19-09-2018 12:10
Thiago Silva,Chelsea,English Premier League,LW,Gold,85,76,85,90,85,77,85,19-09-2018 12:10
David Silva,Real Sociedad,Spain Primera Division,CM,Gold,85,82,88,72,82,38,80,19-09-2018 12:10
Y. Sommer,Borussia Mönchengladbach,German 1. Bundesliga,ST,Gold,85,72,71,85,81,87,89,19-09-2018 12:10
E. Cavani,Manchester United,English Premier League,CM,Gold,85,86,81,88,88,44,79,19-09-2018 12:10
E. Hazard,Real Madrid CF,Spain Primera Division,CAM,Gold,85,92,88,81,91,42,70,19-09-2018 12:10
L. Bonucci,Juventus,Italian Serie A,ST,Gold,85,94,90,77,91,42,72,19-09-2018 12:10
P. Gulácsi,RB Leipzig,German 1. Bundesliga,ST,Gold,85,77,76,83,80,90,87,19-09-2018 12:10
İ. Gündoğan,Manchester City,English Premier League,CDM,Gold,85,72,45,66,58,92,91,19-09-2018 12:10
M. Reus,Borussia Dortmund,German 1. Bundesliga,CB,Gold,85,85,89,83,88,35,73,19-09-2018 12:10
K. Walker,Manchester City,English Premier League,CAM,Gold,85,85,90,87,90,43,77,19-09-2018 12:10
P. Aubameyang,Arsenal,English Premier League,CF,Gold,85,86,91,88,91,43,63,19-09-2018 12:10
Koke,Atlético de Madrid,Spain Primera Division,CF,Gold,85,77,79,82,78,87,89,19-09-2018 12:10
A. Griezmann,Atlético de Madrid,Spain Primera Division,CDM,Gold,85,95,82,81,89,47,67,19-09-2018 12:10
S. de Vrij,Inter,Italian Serie A,LM,Gold,85,87,83,84,94,40,60,19-09-2018 12:10
Roberto Firmino,Liverpool,English Premier League,CAM,Gold,85,71,41,62,66,94,86,19-09-2018 12:10
M. Depay,FC Barcelona,Spain Primera Division,CB,Gold,85,82,89,84,84,36,64,19-09-2018 12:10
Carvajal,Real Madrid CF,Spain Primera Division,CAM,Gold,85,90,89,76,85,48,73,19-09-2018 12:10
Jorginho,Chelsea,English Premier League,ST,Gold,85,79,91,69,83,36,65,19-09-2018 12:10
S. Gnabry,FC Bayern München,German 1. Bundesliga,ST,Gold,85,92,88,74,89,48,70,19-09-2018 12:10
S. Milinković-Savić,Lazio,Italian Serie A,ST,Gold,85,90,88,85,87,51,77,19-09-2018 12:10
W. Ndidi,Leicester City,English Premier League,LW,Gold,85,88,88,88,86,80,87,19-09-2018 12:10
Oyarzabal,Real Sociedad,Spain Primera Division,CM,Gold,85,83,49,67,65,91,86,19-09-2018 12:10
L. Martínez,Inter,Italian Serie A,CB,Gold,85,85,90,85,92,42,69,19-09-2018 12:10
M. Rashford,Manchester United,English Premier League,CF,Gold,85,89,90,72,89,38,73,19-09-2018 12:10
A. Hakimi,Paris Saint-Germain,French Ligue 1,CM,Gold,85,90,90,87,90,48,84,19-09-2018 12:10
M. de Ligt,Juventus,Italian Serie A,ST,Gold,85,83,91,74,83,40,84,19-09-2018 12:10
Z. Ibrahimović,AC Milan,Italian Serie A,LW,Gold,84,90,90,83,93,57,70,19-09-2018 12:10
Jesús Navas,Sevilla FC,Spain Primera Division,ST,Gold,84,90,86,88,91,40,78,19-09-2018 12:10
Piqué,FC Barcelona,Spain Primera Division,RW,Gold,84,74,90,88,84,73,81,19-09-2018 12:10
D. Mertens,Napoli,Italian Serie A,RW,Gold,84,80,50,79,80,88,88,19-09-2018 12:10
G. Wijnaldum,Paris Saint-Germain,French Ligue 1,CM,Gold,84,67,82,89,82,74,69,19-09-2018 12:10
J. Henderson,Liverpool,English Premier League,CDM,Gold,84,78,89,75,85,41,82,19-09-2018 12:10
Fernando,Sevilla FC,Spain Primera Division,CM,Gold,84,68,48,65,64,89,84,19-09-2018 12:10
K. Trippier,Atlético de Madrid,Spain Primera Division,ST,Gold,84,66,60,81,75,91,83,19-09-2018 12:10
Iago Aspas,RC Celta de Vigo,Spain Primera Division,CB,Gold,84,89,90,70,84,38,74,19-09-2018 12:10
De Gea,Manchester United,English Premier League,CB,Gold,84,71,66,75,70,90,84,19-09-2018 12:10
D. Alaba,Real Madrid CF,Spain Primera Division,ST,Gold,84,80,45,60,54,90,90,19-09-2018 12:10
Luis Alberto,Lazio,Italian Serie A,CB,Gold,84,82,90,68,80,43,76,19-09-2018 12:10
D. Tadić,Ajax,Holland Eredivisie,CB,Gold,84,83,87,75,81,42,78,19-09-2018 12:10
W. Ben Yedder,AS Monaco,French Ligue 1,ST,Gold,84,88,86,88,88,52,80,19-09-2018 12:10
L. Digne,Everton,English Premier League,ST,Gold,84,83,91,72,86,35,76,19-09-2018 12:10
J. Iličić,Atalanta,Italian Serie A,LM,Gold,84,84,90,75,78,48,84,19-09-2018 12:10
E. Martínez,Aston Villa,English Premier League,ST,Gold,84,80,85,88,90,38,77,19-09-2018 12:10
H. Maguire,Manchester United,English Premier League,ST,Gold,84,95,91,83,90,43,78,19-09-2018 12:10
S. Savić,Atlético de Madrid,Spain Primera Division,CAM,Gold,84,92,87,85,92,40,70,19-09-2018 12:10
M. Sabitzer,FC Bayern München,German 1. Bundesliga,CF,Gold,84,76,44,62,67,92,82,19-09-2018 12:10
L. Shaw,Manchester United,English Premier League,CF,Gold,84,82,77,89,90,36,62,19-09-2018 12:10
J. Grealish,Manchester City,English Premier League,CB,Gold,84,82,83,90,90,41,61,19-09-2018 12:10
M. Ginter,Borussia Mönchengladbach,German 1. Bundesliga,LW,Gold,84,85,87,89,89,40,65,19-09-2018 12:10
Felipe,Atlético de Madrid,Spain Primera Division,CF,Gold,84,79,68,70,79,90,85,19-09-2018 12:10
Y. Carrasco,Atlético de Madrid,Spain Primera Division,CAM,Gold,84,71,86,89,81,64,80,19-09-2018 12:10
F. Kostić,Eintracht Frankfurt,German 1. Bundesliga,CB,Gold,84,84,80,90,88,47,64,19-09-2018 12:10
H. Ziyech,Chelsea,English Premier League,CM,Gold,84,78,87,88,82,78,88,19-09-2018 12:10
R. Guerreiro,Borussia Dortmund,German 1. Bundesliga,LM,Gold,84,73,65,72,73,91,89,19-09-2018 12:10
Ricardo Pereira,Leicester City,English Premier League,CM,Gold,84,82,88,88,88,46,83,19-09-2018 12:10
T. Werner,Chelsea,English Premier League,CDM,Gold,84,80,86,88,84,75,80,19-09-2018 12:10
M. Maignan,AC Milan,Italian Serie A,CAM,Gold,84,76,87,72,80,52,83,19-09-2018 12:10
M. Brozović,Inter,Italian Serie A,CM,Gold,84,80,66,77,81,87,84,19-09-2018 12:10
Y. Tielemans,Leicester City,English Premier League,ST,Gold,84,86,86,81,88,50,70,19-09-2018 12:10
J. Giménez,Atlético de Madrid,Spain Primera Division,CDM,Gold,84,84,89,76,89,28,73,19-09-2018 12:10
N. Fekir,Real Betis Balompié,Spain Primera Division,ST,Gold,84,66,74,87,91,50,60,19-09-2018 12:10
L. Sané,FC Bayern München,German 1. Bundesliga,ST,Gold,84,65,58,76,73,90,76,19-09-2018 12:10
N. Barella,Inter,Italian Serie A,CAM,Gold,84,69,46,56,60,91,82,19-09-2018 12:10
M. Acuña,Sevilla FC,Spain Primera Division,CB,Gold,84,70,90,79,81,47,83,19-09-2018 12:10
André Silva,RB Leipzig,German 1. Bundesliga,CB,Gold,84,72,81,85,92,61,62,19-09-2018 12:10
F. Kessié,AC Milan,Italian Serie A,ST,Gold,84,85,85,84,91,28,66,19-09-2018 12:10
T. Hernández,AC Milan,Italian Serie A,CAM,Gold,84,73,27,48,62,89,88,19-09-2018 12:10
K. Havertz,Chelsea,English Premier League,CAM,Gold,84,74,83,88,83,75,82,19-09-2018 12:10
P. Foden,Manchester City,English Premier League,CB,Gold,84,85,84,86,87,62,65,19-09-2018 12:10
Fernandinho,Manchester City,English Premier League,CM,Gold,83,71,47,70,72,89,82,19-09-2018 12:10
C. Vela,Los Angeles FC,USA Major League Soccer,CAM,Gold,83,85,75,80,84,86,89,19-09-2018 12:10
A. Witsel,Borussia Dortmund,German 1. Bundesliga,CB,Gold,83,74,72,84,78,85,88,19-09-2018 12:10
Sergio Asenjo,Villarreal CF,Spain Primera Division,RB,Gold,83,84,89,72,85,38,75,19-09-2018 12:10
S. Kjær,AC Milan,Italian Serie A,CM,Gold,83,82,80,87,86,47,76,19-09-2018 12:10
E. Džeko,Inter,Italian Serie A,CM,Gold,83,90,81,86,79,83,85,19-09-2018 12:10
J. Boateng,Olympique Lyonnais,French Ligue 1,ST,Gold,83,82,85,87,86,70,85,19-09-2018 12:10
T. Alderweireld,,,CAM,Gold,83,78,73,79,78,88,85,19-09-2018 12:10
Azpilicueta,Chelsea,English Premier League,LB,Gold,83,88,80,86,86,40,62,19-09-2018 12:10
Paulinho,Al Ahli,Saudi Abdul L. Jameel League,CM,Gold,83,86,86,78,88,45,72,19-09-2018 12:10
Muniain,Athletic Club de Bilbao,Spain Primera Division,CB,Gold,83,66,88,87,83,70,76,19-09-2018 12:10
Canales,Real Betis Balompié,Spain Primera Division,LM,Gold,83,75,77,81,77,86,88,19-09-2018 12:10
L. Hrádecký,Bayer 04 Leverkusen,German 1. Bundesliga,CF,Gold,83,91,86,66,87,31,62,19-09-2018 12:10
Alex Sandro,Juventus,Italian Serie A,CM,Gold,83,95,81,80,88,44,64,19-09-2018 12:10
B. Leno,Arsenal,English Premier League,CDM,Gold,83,70,40,63,65,90,85,19-09-2018 12:10
K. Manolas,Napoli,Italian Serie A,ST,Gold,83,82,82,87,77,90,80,19-09-2018 12:10
H. Mkhitaryan,Roma,Italian Serie A,LW,Gold,83,87,54,73,65,90,78,19-09-2018 12:10
J. Cuadrado,Juventus,Italian Serie A,CB,Gold,83,83,89,81,83,33,64,19-09-2018 12:10
J. Matip,Liverpool,English Premier League,CB,Gold,83,86,84,79,82,39,81,19-09-2018 12:10
S. Coates,Sporting CP,Portuguese Liga ZON SAGRES,LB,Gold,83,80,48,65,64,89,82,19-09-2018 12:10
F. Acerbi,Lazio,Italian Serie A,CAM,Gold,83,83,54,69,67,88,88,19-09-2018 12:10
Allan,Everton,English Premier League,ST,Gold,83,82,88,70,80,41,84,19-09-2018 12:10
K. Volland,AS Monaco,French Ligue 1,CB,Gold,83,91,88,81,92,59,70,19-09-2018 12:10
Morata,Juventus,Italian Serie A,CDM,Gold,83,88,84,87,88,42,77,19-09-2018 12:10
M. Icardi,Paris Saint-Germain,French Ligue 1,ST,Gold,83,75,79,86,85,69,87,19-09-2018 12:10
L. Spinazzola,Roma,Italian Serie A,RW,Gold,83,81,81,86,91,45,64,19-09-2018 12:10
J. Stones,Manchester City,English Premier League,CAM,Gold,83,62,69,75,72,87,88,19-09-2018 12:10
N. Pope,Burnley,English Premier League,CM,Gold,83,72,86,88,86,50,67,19-09-2018 12:10
R. Jiménez,Wolverhampton Wanderers,English Premier League,LW,Gold,83,95,88,84,85,58,76,19-09-2018 12:10
J. Pickford,Everton,English Premier League,CDM,Gold,83,71,54,73,70,88,79,19-09-2018 12:10
A. Rüdiger,Chelsea,English Premier League,CAM,Gold,83,82,71,83,90,81,82,19-09-2018 12:10
L. Ocampos,Sevilla FC,Spain Primera Division,RW,Gold,83,74,82,89,86,53,64,19-09-2018 12:10
M. Kovačić,Chelsea,English Premier League,CB,Gold,83,43,62,79,78,85,80,19-09-2018 12:10
T. Partey,Arsenal,English Premier League,LB,Gold,83,73,87,70,83,31,74,19-09-2018 12:10
Gayà,Valencia CF,Spain Primera Division,CAM,Gold,83,92,84,79,89,45,72,19-09-2018 12:10
T. Lemar,Atlético de Madrid,Spain Primera Division,CDM,Gold,83,90,76,84,91,36,50,19-09-2018 12:10
P. Højbjerg,Tottenham Hotspur,English Premier League,ST,Gold,83,70,60,78,73,90,83,19-09-2018 12:10
Á. Correa,Atlético de Madrid,Spain Primera Division,RW,Gold,83,84,88,70,81,40,75,19-09-2018 12:10
D. Zapata,Atalanta,Italian Serie A,LW,Gold,83,82,44,58,55,87,87,19-09-2018 12:10
A. Kramarić,TSG Hoffenheim,German 1. Bundesliga,CB,Gold,83,77,85,73,78,41,70,19-09-2018 12:10
Angeliño,RB Leipzig,German 1. Bundesliga,ST,Gold,83,88,59,82,80,83,80,19-09-2018 12:10
L. Hernández,FC Bayern München,German 1. Bundesliga,CB,Gold,83,76,88,76,76,53,84,19-09-2018 12:10
Marco Asensio,Real Madrid CF,Spain Primera Division,ST,Gold,83,90,86,75,89,40,64,19-09-2018 12:10
W. Weghorst,VfL Wolfsburg,German 1. Bundesliga,LB,Gold,83,74,85,85,87,39,73,19-09-2018 12:10
R. Gosens,Atalanta,Italian Serie A,ST,Gold,83,78,47,77,77,86,85,19-09-2018 12:10
Merino,Real Sociedad,Spain Primera Division,ST,Gold,83,86,87,85,88,42,76,19-09-2018 12:10
P. Kimpembe,Paris Saint-Germain,French Ligue 1,CF,Gold,83,88,86,85,90,41,64,19-09-2018 12:10
F. Mendy,Real Madrid CF,Spain Primera Division,CDM,Gold,83,83,79,84,91,41,58,19-09-2018 12:10
A. Wan-Bissaka,Manchester United,English Premier League,CAM,Gold,83,85,84,77,82,44,71,19-09-2018 12:10
Ronaldo Cabrais,Grêmio,Campeonato Brasileiro Série A,CF,Gold,83,81,88,67,82,35,67,19-09-2018 12:10
Arthur,Juventus,Italian Serie A,RM,Gold,83,91,87,73,87,47,68,19-09-2018 12:10
Gabriel Jesus,Manchester City,English Premier League,CB,Gold,83,93,82,79,87,43,68,19-09-2018 12:10
O. Dembélé,FC Barcelona,Spain Primera Division,ST,Gold,83,84,47,61,61,85,87,19-09-2018 12:10
M. Mount,Chelsea,English Premier League,ST,Gold,83,88,88,84,89,40,70,19-09-2018 12:10
É. Mendy,Chelsea,English Premier League,ST,Gold,83,80,77,87,87,45,63,19-09-2018 12:10
F. Chiesa,Juventus,Italian Serie A,LW,Gold,83,86,88,71,86,40,72,19-09-2018 12:10
F. Valverde,Real Madrid CF,Spain Primera Division,CB,Gold,83,68,83,90,78,66,76,19-09-2018 12:10
J. Koundé,Sevilla FC,Spain Primera Division,CF,Gold,83,91,78,84,87,40,60,19-09-2018 12:10
João Félix,Atlético de Madrid,Spain Primera Division,CAM,Gold,83,87,88,85,87,44,81,19-09-2018 12:10
Pepe,FC Porto,Portuguese Liga ZON SAGRES,ST,Gold,82,74,62,68,70,87,90,19-09-2018 12:10
Raúl Albiol,Villarreal CF,Spain Primera Division,CM,Gold,82,80,86,87,87,47,82,19-09-2018 12:10
Ł. Fabiański,West Ham United,English Premier League,LM,Gold,82,72,64,71,72,88,82,19-09-2018 12:10
S. Sirigu,Genoa,Italian Serie A,ST,Gold,82,89,83,80,90,34,55,19-09-2018 12:10
I. Rakitić,Sevilla FC,Spain Primera Division,CDM,Gold,82,62,84,87,82,72,69,19-09-2018 12:10
G. Bale,Real Madrid CF,Spain Primera Division,CAM,Gold,82,96,81,79,89,39,72,19-09-2018 12:10
Rui Patrício,Roma,Italian Serie A,CB,Gold,82,63,63,73,72,88,79,19-09-2018 12:10
É. Banega,Al Shabab,Saudi Abdul L. Jameel League,CF,Gold,82,70,80,84,84,72,69,19-09-2018 12:10
M. Pjanić,Beşiktaş JK,Turkish Süper Lig,CM,Gold,82,84,84,76,75,35,87,19-09-2018 12:10
Yuri Berchiche,Athletic Club de Bilbao,Spain Primera Division,RW,Gold,82,82,87,63,82,39,76,19-09-2018 12:10
L. Stindl,Borussia Mönchengladbach,German 1. Bundesliga,CB,Gold,82,55,61,69,66,87,76,19-09-2018 12:10
Oscar,Shanghai Port FC,Chinese Super League,CM,Gold,82,93,69,79,83,79,72,19-09-2018 12:10
K. Trapp,Eintracht Frankfurt,German 1. Bundesliga,ST,Gold,82,94,84,75,80,37,70,19-09-2018 12:10
Coutinho,FC Barcelona,Spain Primera Division,ST,Gold,82,78,85,61,79,36,72,19-09-2018 12:10
C. Eriksen,Inter,Italian Serie A,CB,Gold,82,69,70,87,90,61,57,19-09-2018 12:10
D. Blind,Ajax,Holland Eredivisie,LB,Gold,82,72,26,46,60,88,86,19-09-2018 12:10
M. Götze,PSV,Holland Eredivisie,ST,Gold,82,82,83,79,89,45,77,19-09-2018 12:10
A. Areola,West Ham United,English Premier League,ST,Gold,82,75,81,88,87,40,70,19-09-2018 12:10
J. Corona,FC Porto,Portuguese Liga ZON SAGRES,CM,Gold,82,70,80,85,81,74,79,19-09-2018 12:10
A. Lacazette,Arsenal,English Premier League,CB,Gold,82,75,65,73,71,87,82,19-09-2018 12:10
I. Gueye,Paris Saint-Germain,French Ligue 1,LW,Gold,82,82,81,85,85,64,66,19-09-2018 12:10
Mário Fernandes,PFC CSKA Moscow,Russian Premier League,CAM,Gold,82,84,86,66,77,40,75,19-09-2018 12:10
O. Baumann,TSG Hoffenheim,German 1. Bundesliga,CM,Gold,82,78,86,70,78,40,75,19-09-2018 12:10
Neto,FC Barcelona,Spain Primera Division,CB,Gold,82,81,75,80,79,86,89,19-09-2018 12:10
Isco,Real Madrid CF,Spain Primera Division,CAM,Gold,82,90,82,84,87,46,77,19-09-2018 12:10
W. Zaha,Crystal Palace,English Premier League,ST,Gold,82,66,70,81,77,88,87,19-09-2018 12:10
L. Muriel,Atalanta,Italian Serie A,ST,Gold,82,88,90,67,85,38,71,19-09-2018 12:10
A. Lopes,Olympique Lyonnais,French Ligue 1,CM,Gold,82,92,80,79,81,81,78,19-09-2018 12:10
Campaña,Levante Unión Deportiva,Spain Primera Division,LM,Gold,82,70,67,77,75,86,81,19-09-2018 12:10
Gabriel Paulista,Valencia CF,Spain Primera Division,CM,Gold,82,76,45,68,58,88,89,19-09-2018 12:10
J. Veretout,Roma,Italian Serie A,ST,Gold,82,77,85,80,86,50,71,19-09-2018 12:10
Suso,Sevilla FC,Spain Primera Division,LB,Gold,82,75,86,85,82,70,76,19-09-2018 12:10
T. Hazard,Borussia Dortmund,German 1. Bundesliga,CDM,Gold,82,84,86,67,85,35,64,19-09-2018 12:10
Juan Bernat,Paris Saint-Germain,French Ligue 1,RB,Gold,82,88,78,79,87,48,65,19-09-2018 12:10
Portu,Real Sociedad,Spain Primera Division,CF,Gold,82,86,86,74,84,46,72,19-09-2018 12:10
H. Çalhanoğlu,Inter,Italian Serie A,CM,Gold,82,87,83,77,81,37,76,19-09-2018 12:10
E. Can,Borussia Dortmund,German 1. Bundesliga,ST,Gold,82,84,86,70,80,37,81,19-09-2018 12:10
Saúl,Chelsea,English Premier League,LW,Gold,82,72,86,86,78,80,83,19-09-2018 12:10
M. de Roon,Atalanta,Italian Serie A,ST,Gold,82,70,85,88,78,80,81,19-09-2018 12:10
Y. Bounou,Sevilla FC,Spain Primera Division,ST,Gold,82,95,81,78,86,38,70,19-09-2018 12:10
Grimaldo,SL Benfica,Portuguese Liga ZON SAGRES,CM,Gold,82,73,50,72,66,85,83,19-09-2018 12:10
A. Romagnoli,AC Milan,Italian Serie A,ST,Gold,82,77,83,80,86,61,78,19-09-2018 12:10
D. Berardi,U.S. Sassuolo Calcio,Italian Serie A,CM,Gold,82,66,70,86,86,73,69,19-09-2018 12:10
N. Tagliafico,Ajax,Holland Eredivisie,CDM,Gold,82,70,73,86,84,24,58,19-09-2018 12:10
P. Gollini,Tottenham Hotspur,English Premier League,LW,Gold,82,56,71,79,76,83,83,19-09-2018 12:10
N. Süle,FC Bayern München,German 1. Bundesliga,CB,Gold,82,70,45,54,65,87,85,19-09-2018 12:10
Alex Telles,Manchester United,English Premier League,CF,Gold,82,86,80,80,83,62,78,19-09-2018 12:10
Anderson Talisca,Al Nassr,Saudi Abdul L. Jameel League,CM,Gold,82,74,83,80,78,50,71,19-09-2018 12:10
R. De Paul,Atlético de Madrid,Spain Primera Division,CAM,Gold,82,61,58,69,71,87,80,19-09-2018 12:10
Rafa,SL Benfica,Portuguese Liga ZON SAGRES,CDM,Gold,82,47,80,88,79,71,71,19-09-2018 12:10
Diego Carlos,Sevilla FC,Spain Primera Division,CB,Gold,82,94,80,76,87,42,73,19-09-2018 12:10
